	day	n_tweets_all	n_tweets_covid	n_tweets_blm	covid_rehyd	covid_sum	covid_mean	covid_median	blm_rehyd	blm_sum	blm_mean	blm_median	all_rehyd	all_median	all_mean	all_median
12	2020-01-13	862152	1977	0.0	1751	7070277.0	4037.850942318675	25.0	0.0	0.0	0.0	0.0	751663	7.0	19555.430992346304	7.0
13	2020-01-14	932096	2390	0.0	2214	19487913.0	8802.128726287263	44.0	0.0	0.0	0.0	0.0	814012	7.0	20102.419674402834	7.0
14	2020-01-15	962940	2307	0.0	2102	24534720.0	11672.083729781161	20.0	0.0	0.0	0.0	0.0	845269	9.0	17479.986498972517	9.0
15	2020-01-16	942064	2430	0.0	1988	4338308.0	2182.247484909457	17.0	0.0	0.0	0.0	0.0	827852	9.0	17121.53272203244	9.0
16	2020-01-17	880663	2512	0.0	2143	4673632.0	2180.882874475035	21.0	0.0	0.0	0.0	0.0	771104	7.0	30637.05279313815	7.0
17	2020-01-18	751456	1935	0.0	1578	2821606.0	1788.0899873257288	43.0	0.0	0.0	0.0	0.0	656646	7.0	24735.069512339982	7.0
18	2020-01-19	756246	1432	0.0	1182	2500940.0	2115.85448392555	29.0	0.0	0.0	0.0	0.0	658116	6.0	22948.66382674179	6.0
19	2020-01-20	821620	2945	0.0	2324	7689632.0	3308.7917383821	78.0	0.0	0.0	0.0	0.0	717215	8.0	20962.055630459487	8.0
20	2020-01-21	876748	4528	0.0	3819	24483187.0	6410.889499869076	33.0	0.0	0.0	0.0	0.0	767807	10.0	17141.381390114962	10.0
21	2020-01-22	933748	5223	0.0	4376	43885626.0	10028.707952468007	40.0	0.0	0.0	0.0	0.0	821809	9.0	18030.53038358061	9.0
22	2020-01-23	896068	8460	0.0	7265	205377908.0	28269.498692360634	117.0	0.0	0.0	0.0	0.0	787960	7.0	17821.467088430883	7.0
